altitude_ft,mach,T_amb_K,P_amb_Pa,max_thrust_N,min_thrust_N
0.0,0.0,288.15,101325.0,45000.0,5000.0
0.0,0.2222222222222222,288.15,101325.0,48500.0,5000.0
0.0,0.4444444444444444,288.15,101325.0,51999.99999999999,5000.0
0.0,0.6666666666666666,288.15,101325.0,55500.0,5000.0
0.0,0.8888888888888888,288.15,101325.0,59000.0,5000.0
0.0,1.1111111111111112,288.15,101325.0,62500.0,5000.0
0.0,1.3333333333333333,288.15,101325.0,66000.0,5000.0
0.0,1.5555555555555554,288.15,101325.0,69500.0,5000.0
0.0,1.7777777777777777,288.15,101325.0,73000.0,5000.0
0.0,2.0,288.15,101325.0,76500.0,5000.0
5555.555555555556,0.0,277.1433333333333,82568.41539756802,36669.91061327965,4074.4345125866284
5555.555555555556,0.2222222222222222,277.1433333333333,82568.41539756802,39522.01477209029,4074.4345125866284
5555.555555555556,0.4444444444444444,277.1433333333333,82568.41539756802,42374.11893090093,4074.4345125866284
5555.555555555556,0.6666666666666666,277.1433333333333,82568.41539756802,45226.22308971157,4074.4345125866284
5555.555555555556,0.8888888888888888,277.1433333333333,82568.41539756802,48078.32724852221,4074.4345125866284
5555.555555555556,1.1111111111111112,277.1433333333333,82568.41539756802,50930.43140733285,4074.4345125866284
5555.555555555556,1.3333333333333333,277.1433333333333,82568.41539756802,53782.53556614349,4074.4345125866284
5555.555555555556,1.5555555555555554,277.1433333333333,82568.41539756802,56634.639724954126,4074.4345125866284
5555.555555555556,1.7777777777777777,277.1433333333333,82568.41539756802,59486.74388376477,4074.4345125866284
5555.555555555556,2.0,277.1433333333333,82568.41539756802,62338.8480425754,4074.4345125866284
11111.111111111111,0.0,266.13666666666666,66727.99039778163,29634.932819148024,3292.770313238669
11111.111111111111,0.2222222222222222,266.13666666666666,66727.99039778163,31939.87203841509,3292.770313238669
11111.111111111111,0.4444444444444444,266.13666666666666,66727.99039778163,34244.81125768216,3292.770313238669
11111.111111111111,0.6666666666666666,266.13666666666666,66727.99039778163,36549.75047694923,3292.770313238669
11111.111111111111,0.8888888888888888,266.13666666666666,66727.99039778163,38854.6896962163,3292.770313238669
11111.111111111111,1.1111111111111112,266.13666666666666,66727.99039778163,41159.628915483365,3292.770313238669
11111.111111111111,1.3333333333333333,266.13666666666666,66727.99039778163,43464.56813475043,3292.770313238669
11111.111111111111,1.5555555555555554,266.13666666666666,66727.99039778163,45769.5073540175,3292.770313238669
11111.111111111111,1.7777777777777777,266.13666666666666,66727.99039778163,48074.44657328457,3292.770313238669
11111.111111111111,2.0,266.13666666666666,66727.99039778163,50379.38579255164,3292.770313238669
16666.666666666668,0.0,255.12999999999997,53443.443865683024,23735.060192013185,2637.2289102236873
16666.666666666668,0.2222222222222222,255.12999999999997,53443.443865683024,25581.120429169765,2637.2289102236873
16666.666666666668,0.4444444444444444,255.12999999999997,53443.443865683024,27427.180666326345,2637.2289102236873
16666.666666666668,0.6666666666666666,255.12999999999997,53443.443865683024,29273.24090348293,2637.2289102236873
16666.666666666668,0.8888888888888888,255.12999999999997,53443.443865683024,31119.30114063951,2637.2289102236873
16666.666666666668,1.1111111111111112,255.12999999999997,53443.443865683024,32965.361377796085,2637.2289102236873
16666.666666666668,1.3333333333333333,255.12999999999997,53443.443865683024,34811.42161495267,2637.2289102236873
16666.666666666668,1.5555555555555554,255.12999999999997,53443.443865683024,36657.481852109246,2637.2289102236873
16666.666666666668,1.7777777777777777,255.12999999999997,53443.443865683024,38503.54208926584,2637.2289102236873
16666.666666666668,2.0,255.12999999999997,53443.443865683024,40349.60232642241,2637.2289102236873
22222.222222222223,0.0,244.1233333333333,42386.57831881138,18824.53515269195,2091.6150169657726
22222.222222222223,0.2222222222222222,244.1233333333333,42386.57831881138,20288.66566456799,2091.6150169657726
22222.222222222223,0.4444444444444444,244.1233333333333,42386.57831881138,21752.79617644403,2091.6150169657726
22222.222222222223,0.6666666666666666,244.1233333333333,42386.57831881138,23216.926688320073,2091.6150169657726
22222.222222222223,0.8888888888888888,244.1233333333333,42386.57831881138,24681.057200196115,2091.6150169657726
22222.222222222223,1.1111111111111112,244.1233333333333,42386.57831881138,26145.187712072155,2091.6150169657726
22222.222222222223,1.3333333333333333,244.1233333333333,42386.57831881138,27609.318223948194,2091.6150169657726
22222.222222222223,1.5555555555555554,244.1233333333333,42386.57831881138,29073.448735824233,2091.6150169657726
22222.222222222223,1.7777777777777777,244.1233333333333,42386.57831881138,30537.579247700276,2091.6150169657726
22222.222222222223,2.0,244.1233333333333,42386.57831881138,32001.709759576315,2091.6150169657726
27777.777777777777,0.0,233.11666666666665,33259.62238544793,14771.112828474286,1641.2347587193651
27777.777777777777,0.2222222222222222,233.11666666666665,33259.62238544793,15919.97715957784,1641.2347587193651
27777.777777777777,0.4444444444444444,233.11666666666665,33259.62238544793,17068.841490681396,1641.2347587193651
27777.777777777777,0.6666666666666666,233.11666666666665,33259.62238544793,18217.705821784955,1641.2347587193651
27777.777777777777,0.8888888888888888,233.11666666666665,33259.62238544793,19366.570152888507,1641.2347587193651
27777.777777777777,1.1111111111111112,233.11666666666665,33259.62238544793,20515.434483992063,1641.2347587193651
27777.777777777777,1.3333333333333333,233.11666666666665,33259.62238544793,21664.29881509562,1641.2347587193651
27777.777777777777,1.5555555555555554,233.11666666666665,33259.62238544793,22813.163146199175,1641.2347587193651
27777.777777777777,1.7777777777777777,233.11666666666665,33259.62238544793,23962.02747730273,1641.2347587193651
27777.777777777777,2.0,233.11666666666665,33259.62238544793,25110.891808406286,1641.2347587193651
33333.333333333336,0.0,222.10999999999996,25793.59148872483,11455.333007575793,1272.8147786195327
33333.333333333336,0.2222222222222222,222.10999999999996,25793.59148872483,12346.303352609466,1272.8147786195327
