Altitude_ft,ISA_Deviation_K,N2_RPM,Degradation_Index,Fuel_Flow_kgs,P2_Pa,T2_K,P3_Pa,T3_K,W3_kgs,P4_Pa,T4_K,P5_Pa,T5_K,P9_Pa,T9_K,Mach_9,Stall_Margin
0.0,-20.0,20000.0,0.0,0.16428571428571428,101325.0,268.15,124074.40362089084,273.6367097096821,0.5772362100187584,119111.42747605519,1328.5714,17866.714121408277,1261.2499867396139,101325.0,1261.2499867396139,0.0,0.7761407769361026
0.0,-20.0,28000.0,0.0,0.21000000000000002,101325.0,268.15,166892.70266548416,281.87066158595894,1.0870173903729754,160216.9945588648,1420.0,24032.54918382972,1249.6302409067446,101325.0,1249.6302409067446,0.0,0.8267182900905599
0.0,-20.0,33000.0,0.0,0.2385714285714286,101325.0,268.15,193654.71233484184,286.0941298938051,1.4865617606226706,185908.52384144816,1477.1428,27886.278576217224,1251.586076342231,101325.0,1251.586076342231,0.0,0.8487929997866832
0.0,-20.0,35000.0,0.0,0.25,101325.0,268.15,204359.42946233967,287.6375680734568,1.663809514225606,196185.05228384607,1500.0,29427.75784257691,1253.680747078686,101325.0,1253.680747078686,0.0,0.8561757269681696
0.0,-20.0,20000.0,0.2,0.16428571428571428,101325.0,268.15,124074.24394232113,273.63667449376123,0.5772354671395711,119111.27418462829,1328.5714,17866.69112769424,1261.7902701510986,101325.0,1261.7902701510986,0.0,0.7706363612463816
0.0,-20.0,28000.0,0.2,0.21000000000000002,101325.0,268.15,166892.70266548416,281.87066158595894,1.0870173903729754,160216.9945588648,1420.0,24032.54918382972,1250.9736523494305,101325.0,1250.9736523494305,0.0,0.822457264437049
0.0,-20.0,33000.0,0.2,0.2385714285714286,101325.0,268.15,193654.71233484184,286.0941298938051,1.4865617606226706,185908.52384144816,1477.1428,27886.278576217224,1253.3495286957118,101325.0,1253.3495286957118,0.0,0.8450747948634049
0.0,-20.0,35000.0,0.2,0.25,101325.0,268.15,204359.42946233967,287.6375680734568,1.663809514225606,196185.05228384607,1500.0,29427.75784257691,1255.6005591108633,101325.0,1255.6005591108633,0.0,0.8526390645165671
0.0,-20.0,20000.0,0.5,0.16428571428571428,101325.0,268.15,124074.24394232113,273.63667449376123,0.5772354671395711,119111.27418462829,1328.5714,17866.69112769424,1262.6002482064537,101325.0,1262.6002482064537,0.0,0.76185222188986
0.0,-20.0,28000.0,0.5,0.21000000000000002,101325.0,268.15,166892.70266548416,281.87066158595894,1.0870173903729754,160216.9945588648,1420.0,24032.54918382972,1252.9898707454786,101325.0,1252.9898707454786,0.0,0.8156577554154892
0.0,-20.0,33000.0,0.5,0.2385714285714286,101325.0,268.15,193654.71233484184,286.0941298938051,1.4865617606226706,185908.52384144816,1477.1428,27886.278576217224,1255.996597378725,101325.0,1255.996597378725,0.0,0.8391414891347694
0.0,-20.0,35000.0,0.5,0.25,101325.0,268.15,204359.42946233967,287.6375680734568,1.663809514225606,196185.05228384607,1500.0,29427.75784257691,1258.4825117271923,101325.0,1258.4825117271923,0.0,0.8469954542214568
0.0,-20.0,20000.0,0.8,0.16428571428571428,101325.0,268.15,124074.24394232113,273.63667449376123,0.5772354671395711,119111.27418462829,1328.5714,17866.69112769424,1263.4104386850324,101325.0,1263.4104386850324,0.0,0.7523684608146775
0.0,-20.0,28000.0,0.8,0.21000000000000002,101325.0,268.15,166892.70266548416,281.87066158595894,1.0870173903729754,160216.9945588648,1420.0,24032.54918382972,1255.0074106199509,101325.0,1255.0074106199509,0.0,0.8083166925780529
0.0,-20.0,33000.0,0.8,0.2385714285714286,101325.0,268.15,193654.27872931067,286.09406583539896,1.4865584321125276,185908.10758013822,1477.1428,27886.216137020732,1258.6466258418332,101325.0,1258.6466258418332,0.0,0.8327360282374651
0.0,-20.0,35000.0,0.8,0.25,101325.0,268.15,204359.42946233967,287.6375680734568,1.663809514225606,196185.05228384607,1500.0,29427.75784257691,1261.3671458251974,101325.0,1261.3671458251974,0.0,0.8409023528408953
0.0,0.0,20000.0,0.0,0.16428571428571428,101325.0,288.15,124074.22204138791,294.0458935804086,0.5568427157821069,119111.25315973238,1328.5714,17866.687973959855,1261.2504598582948,101325.0,1261.2504598582948,0.0,0.7626804899435112
0.0,0.0,28000.0,0.0,0.21000000000000002,101325.0,288.15,166892.64904485375,302.894009048887,1.048614780395659,160216.9430830596,1420.0,24032.54146245894,1249.6303433180562,101325.0,1249.6303433180562,0.0,0.8152438346932264
0.0,0.0,33000.0,0.0,0.2385714285714286,101325.0,288.15,193654.6222260258,307.4324806750083,1.4340436941017447,185908.43733698476,1477.1428,27886.265600547715,1251.586224517893,101325.0,1251.586224517893,0.0,0.8384684591518529
0.0,0.0,35000.0,0.0,0.25,101325.0,288.15,204359.32783225738,309.0910353105316,1.6050295010776565,196184.95471896708,1500.0,29427.743207845062,1253.680905564157,101325.0,1253.680905564157,0.0,0.846266325063797
0.0,0.0,20000.0,0.2,0.16428571428571428,101325.0,288.15,124074.22204138791,294.0458935804086,0.5568427157821069,119111.25315973238,1328.5714,17866.687973959855,1261.790326763393,101325.0,1261.790326763393,0.0,0.7568447642863844
0.0,0.0,28000.0,0.2,0.21000000000000002,101325.0,288.15,166892.64904485375,302.894009048887,1.048614780395659,160216.9430830596,1420.0,24032.54146245894,1250.973753977903,101325.0,1250.973753977903,0.0,0.8107006503004368
0.0,0.0,33000.0,0.2,0.2385714285714286,101325.0,288.15,193654.203939148,307.43241427065607,1.4340405966186784,185908.03578158206,1477.1428,27886.205367237308,1253.3503584373864,101325.0,1253.3503584373864,0.0,0.834496762290375
0.0,0.0,35000.0,0.2,0.25,101325.0,288.15,204359.32783225738,309.0910353105316,1.6050295010776565,196184.95471896708,1500.0,29427.743207845062,1255.6007164162227,101325.0,1255.6007164162227,0.0,0.8424859887948739
0.0,0.0,20000.0,0.5,0.16428571428571428,101325.0,288.15,124074.22204138791,294.0458935804086,0.5568427157821069,119111.25315973238,1328.5714,17866.687973959855,1262.6003041400893,101325.0,1262.6003041400893,0.0,0.7475324361101182
0.0,0.0,28000.0,0.5,0.21000000000000002,101325.0,288.15,166892.64904485375,302.894009048887,1.048614780395659,160216.9430830596,1420.0,24032.54146245894,1252.9899711983246,101325.0,1252.9899711983246,0.0,0.8034508879715173
0.0,0.0,33000.0,0.5,0.2385714285714286,101325.0,288.15,193654.203939148,307.43241427065607,1.4340405966186784,185908.03578158206,1477.1428,27886.205367237308,1255.9974177016115,101325.0,1255.9974177016115,0.0,0.8281583404206447
0.0,0.0,35000.0,0.5,0.25,101325.0,288.15,204359.32783225738,309.0910353105316,1.6050295010776565,196184.95471896708,1500.0,29427.743207845062,1258.4826672593724,101325.0,1258.4826672593724,0.0,0.8364535373019116
0.0,0.0,20000.0,0.8,0.16428571428571428,101325.0,288.15,124074.22204138791,294.0458935804086,0.5568427157821069,119111.25315973238,1328.5714,17866.687973959855,1263.410493939644,101325.0,1263.410493939644,0.0,0.7374784180791053
0.0,0.0,28000.0,0.8,0.21000000000000002,101325.0,288.15,166892.64904485375,302.894009048887,1.048614780395659,160216.9430830596,1420.0,24032.54146245894,1255.0075098955285,101325.0,1255.0075098955285,0.0,0.7956237109438344
0.0,0.0,33000.0,0.8,0.2385714285714286,101325.0,288.15,193654.203939148,307.43241427065607,1.4340405966186784,185908.03578158206,1477.1428,27886.205367237308,1258.6467451316375,101325.0,1258.6467451316375,0.0,0.8213150884904934
0.0,0.0,35000.0,0.8,0.25,101325.0,288.15,204358.8560634586,309.09096395599175,1.6050257958239345,196184.50182092024,1500.0,29427.675273138037,1261.3680133173132,101325.0,1261.3680133173132,0.0,0.8299410539231958
0.0,15.0,20000.0,0.0,0.16428571428571428,101325.0,303.15,124074.20705837049,309.35280778226394,0.5428914875284789,119111.23877603567,1328.5714,17866.68581640535,1261.2504988976823,101325.0,1261.2504988976823,0.0,0.7528203213316975
